Corpus, Filename, Utterance number, Clause number, Location of clause start, Location of clause end,Speaker, Clause, Matrix (verb) language, Linguality of clause, Linguality of utterance, Dependent variable, Verb morphology, AoA minority language, AoA majority language, Mother's language, Father's language, Parental input,Primary school language,Secondary school language, Language of education, Identity, Social network
"Siarad","davies14","234","1","1","8","FRE","oh dydy yr bychan ddim ","cym","biling","biling","wbb","be.V.3S.PRES.NEG.SPOKEN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","234","2","6","7","FRE","yn mynd ","cym","monoW","biling","wwb","go.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","235","1","1","4","FRE","dydy David ac er ","cym","biling","biling","wbb","be.V.3S.PRES.NEG.SPOKEN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","239","1","1","4","FRE","nhw ddim isio mynd ","cym","monoW","monoW","www","go.V.INFIN","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","243","1","1","4","GWA","fasan nhw yn bored ","eng","biling","biling","ebb","be.V.1P.PLUPERF.SPOKEN+SM=bore.V.INFIN+AV","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","244","1","1","7","GWA","fasan nhw yn na dydyn nhw ddim ","cym","monoW","monoW","www","be.V.1P.PLUPERF.SPOKEN+SM","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","244","2","8","9","GWA","wedi arfer ","cym","monoW","monoW","www","use.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","244","3","10","14","GWA","mynd i bethau fel yna ","cym","monoW","monoW","www","go.V.INFIN","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","246","1","1","5","GWA","fasai rhy hir iddyn nhw ","cym","monoW","monoW","www","be.V.3S.PLUPERF.SPOKEN+SM","1","3","0","1","0.5","1","2","1.5","1","2.2"
"Siarad","davies14","247","1","1","4","FRE","basai fo yn boring ","eng","biling","biling","ebb","be.V.3S.PLUPERF.SPOKEN=bore.V.INFIN+ASV","5","1","2","2","2","2","2","2","1","2"
"Siarad","davies14","248","1","1","5","GWA","na mae nhw rhy ifanc ","cym","monoW","monoW","www","be.V.3S.PRES","1","3","0","1","0.5","1","2","1.5","1","2.2"
