"Corpus","Filename","Utterance number","Clause number","Location of clause start","Location of clause end","Speaker","Clause","Matrix (verb) language","Linguality of clause","Dependent variable","Linguality of utterance","Mari-Carmen variable","Verb morphology","AoA minority language","AoA majority language","Mother's language","Father's language","Parental input","Primary school language","Secondary school language","Language of education","Identity","Contact1","Contact2","Contact3","Contact4","Contact5","Social network"
"Name of the corpus","Name of the file","Location in the speech tier","Location in the utterance","Word in the utterance at which the clause begins","Word in the utterance at which the clause ends","Speaker","Contents of the clause","cym=Welsh, eng=English","monoW=monolingual Welsh, monoE=monolingual English, biling=bilingual","Generated from ML (first letter) and clause linguality (second letter): eg wb=Welsh ML and bilingual clause","monoW=monolingual Welsh, monoE=monolingual English, biling=bilingual","Generated from ML (first letter), clause linguality (second letter), and utterance linguality (third letter): eg wwb=Welsh ML, Welsh clause, and bilingual utterance","Glosses for verbs in the clause, separated by =","1=<2, 2=<4, 3=primary, 4=secondary, 5=adult, 0=blank","1=<2, 2=<4, 3=primary, 4=secondary, 5=adult, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","Average of the values for mother's language and father's language","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","Average of the values for primary and secondary school language","1=Welsh, 2=English, 3=other, 4=British","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","Average of the values for the 5 contact fields"
"Siarad","davies14","228","1","0","2","FRE","beth oes ","cym","monoW","ww","monoW","www","be.V.3S.PRES.INDEF","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","228","2","3","3","FRE","oes ","cym","monoW","ww","monoW","www","be.V.3S.PRES.INDEF","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","228","3","4","10","FRE","oes rhaid i ti weithio efo nhw ","cym","monoW","ww","monoW","www","be.V.3S.PRES.INDEF[or]age.N.F.SG=work.V.INFIN+SM","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","234","1","1","7","FRE","oh dydy yr bychan ddim yn mynd ","cym","monoW","ww","monoW","www","be.V.3S.PRES.NEG.SPOKEN=go.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","235","1","1","4","FRE","dydy David ac er ","cym","monoW","ww","monoW","www","be.V.3S.PRES.NEG.SPOKEN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","242","1","1","5","GWA","dw i ddim yn meddwl ","cym","monoW","ww","monoW","www","be.V.1S.PRES.SPOKEN=think.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","242","2","6","9","GWA","faswn i yn roi ","cym","monoW","ww","monoW","www","be.V.1S.PLUPERF.SPOKEN+SM=give.V.INFIN+SM","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","242","3","10","12","GWA","dewis iddyn nhw ","cym","monoW","ww","monoW","www","select.V.INFIN[or]choose.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","242","4","13","13","GWA","fynd ","cym","monoW","ww","monoW","www","go.V.INFIN+SM","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","243","1","1","4","GWA","fasan nhw yn bored ","cym","biling","wb","biling","wbb","be.V.1P.PLUPERF.SPOKEN+SM=bore.V.INFIN+AV","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","244","1","1","9","GWA","fasan nhw yn na dydyn nhw ddim wedi arfer ","cym","monoW","ww","monoW","www","be.V.1P.PLUPERF.SPOKEN+SM=use.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","244","2","10","14","GWA","mynd i bethau fel yna ","cym","monoW","ww","monoW","www","go.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","246","1","1","5","GWA","fasai rhy hir iddyn nhw ","cym","monoW","ww","monoW","www","be.V.3S.PLUPERF.SPOKEN+SM","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","247","1","1","4","FRE","basai fo yn boring ","cym","biling","wb","biling","wbb","be.V.3S.PLUPERF.SPOKEN=bore.V.INFIN+ASV","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","248","1","1","5","GWA","na mae nhw rhy ifanc ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","249","1","1","5","FRE","mae yr esgob yn pregethu ","cym","monoW","ww","monoW","www","be.V.3S.PRES=preach.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","254","1","1","4","FRE","mae o yn dda ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","255","1","1","3","GWA","yeah ond timod ","cym","monoW","ww","monoW","www","know.V.2S.PRES.SPOKEN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","256","1","1","5","GWA","na mae nhw rhy ifanc ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","258","1","1","3","GWA","dw i meddwl ","cym","monoW","ww","monoW","www","be.V.1S.PRES.SPOKEN=think.V.INFIN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","259","1","1","5","FRE","yeah dw i yn sure ","cym","monoW","ww","monoW","www","be.V.1S.PRES.SPOKEN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","259","2","6","9","FRE","fydd o yn ddiddorol ","cym","monoW","ww","monoW","www","be.V.3S.FUT+SM","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","261","1","1","4","FRE","fydd o yn orlawn ","cym","monoW","ww","monoW","www","be.V.3S.FUT+SM","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","262","1","1","5","GWA","oh fydd o yn orlawn ","cym","monoW","ww","monoW","www","be.V.3S.FUT+SM","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","263","1","1","7","GWA","wnawn nhw ddim yng ngholli fi de ","cym","monoW","ww","monoW","www","do.V.1S.IMPERF+SM[or]do.V.1P.PRES+SM=lose.V.INFIN+NM","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","279","1","1","13","FRE","yeah be be mae gynno chi yr velcro neu rywbeth ar ar eich ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","282","1","1","7","FRE","er a a wal velcro ydy o ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","478","1","1","9","FRE","oedd o yn siarad yn call iawn chwarae teg ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF=talk.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","479","1","1","3","FRE","er oedd o ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","479","2","4","12","FRE","oedden ni yn sôn am yr club pêl_droed Arsenal ","cym","monoW","ww","monoW","www","be.V.3P.IMPERF.SPOKEN=mention.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","481","1","1","2","FRE","mae er ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","481","2","3","7","FRE","mae o er a Tudor ","cym","monoW","ww","monoW","www","be.V.3S.PRES","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","490","1","1","2","FRE","mae ymson ","cym","monoW","ww","monoW","www","be.V.3S.PRES=soliloquise.V.INFIN","5","1","3","3","3","3","3","3","1","4","3","4","1","1","2.6"
"Siarad","davies14","495","1","1","6","GWA","i be ydach chi isio ffôn ","cym","monoW","ww","monoW","www","phone.N.M.SG[or]flee.V.3P.FUT.SPOKEN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
"Siarad","davies14","497","1","1","3","GWA","dw i yma ","cym","monoW","ww","monoW","www","be.V.1S.PRES.SPOKEN","1","3","2","1","1.5","1","3","2","1","4","3","1","3","4","3"
