"corpus","filename","utterance_id","clause_no","speaker","clause","comments","matrix_lg","linguality","dv","aoa_min","aoa_maj","moth_lg","fath_lg","parental","primary_lg","secondary_lg","educ_lg","identity","contact1","contact2","contact3","contact4","contact5","soc_net"
"Siarad","davies1",215,1,"NON","aye mae",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",215,2,"NON","mae fe wastad yn um bach o anticlimax neu rywbeth yn_dyw e",,"cym","biling","wb",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",226,1,"NON","mond bod y crew yn iawn dyna i_gyd",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",226,2,"NON","sy yn bwysig",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",233,1,"NON","oes gyda ti unrhyw gynlluniau",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",241,1,"NON","oh mae just yn ormod o oriau",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",242,1,"SAR","mae yn gormod",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",243,1,"SAR","achos allen i fod wedi dechrau gweithio dydd Llun nawr",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",243,2,"SAR","gweithio dydd Llun nawr","q","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",244,1,"NON","gei di ddim seibiant",,"cym","monoW","ww",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",248,1,"SAR","ond oedd mam yn gweud mam yn gweud",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",249,1,"SAR","faint o waith sy gyda ti",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",251,1,"SAR","mae tipyn o oriau mynd i fynd ar sgriptiau fi",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",251,2,"SAR","i fynd ar sgriptiau fi","q","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",255,1,"SAR","achos fi yn gwybod",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",255,2,"SAR","mae hwnna mynd i fod yn drymach",,"cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"Siarad","davies1",255,3,"SAR","i fod yn drymach","q","cym","monoW","ww",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
