"Corpus","Filename","Utterance number","Clause number","Location of clause start","Location of clause end","Speaker","Clause","Matrix (verb) language","Linguality of clause","Dependent variable","Linguality of utterance","Mari-Carmen variable","Verb morphology","AoA minority language","AoA majority language","Mother's language","Father's language","Parental input","Primary school language","Secondary school language","Language of education","Identity","Contact1","Contact2","Contact3","Contact4","Contact5","Social network"
"Name of the corpus","Name of the file","Location in the speech tier","Location in the utterance","Word in the utterance at which the clause begins","Word in the utterance at which the clause ends","Speaker","Contents of the clause","cym=Welsh, eng=English","monoW=monolingual Welsh, monoE=monolingual English, biling=bilingual","Generated from ML (first letter) and clause linguality (second letter): eg wb=Welsh ML and bilingual clause","monoW=monolingual Welsh, monoE=monolingual English, biling=bilingual","Generated from ML (first letter), clause linguality (second letter), and utterance linguality (third letter): eg wwb=Welsh ML, Welsh clause, and bilingual utterance","Glosses for verbs in the clause, separated by =","1=<2, 2=<4, 3=primary, 4=secondary, 5=adult, 0=blank","1=<2, 2=<4, 3=primary, 4=secondary, 5=adult, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","Average of the values for mother's language and father's language","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","Average of the values for primary and secondary school language","1=Welsh, 2=English, 3=other, 4=British","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","1=Welsh, 2=Welsh/English, 3=English, 4=other, 0=blank","Average of the values for the 5 contact fields"
"Siarad","davies1","215","1","1","12","NON","aye mae ","cym","monoW","ww","biling","wwb","be.V.3S.PRES","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","215","2","3","14","NON","mae fe wastad yn um bach o anticlimax neu rywbeth yn_dyw e ","cym","biling","wb","biling","wbb","be.V.3S.PRES","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","226","1","1","8","NON","mond bod y crew yn iawn dyna i_gyd ","cym","monoW","ww","monoW","www","be.V.INFIN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","226","2","9","11","NON","sy yn bwysig ","cym","monoW","ww","monoW","www","which_is.V.3SP.PRES.REL","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","233","1","1","5","NON","oes gyda ti unrhyw gynlluniau ","cym","monoW","ww","monoW","www","be.V.3S.PRES.INDEF[or]age.N.F.SG","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","241","1","1","7","NON","oh mae just yn ormod o oriau ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","242","1","1","3","SAR","mae yn gormod ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","243","1","1","6","SAR","achos allen i fod wedi dechrau ","cym","monoW","ww","monoW","www","be_able.V.3P.IMPER.SPOKEN+SM=be.V.INFIN+SM=begin.V.INFIN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","243","2","7","10","SAR","gweithio dydd Llun nawr ","cym","monoW","ww","monoW","www","work.V.INFIN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","244","1","1","4","NON","gei di ddim seibiant ","cym","monoW","ww","monoW","www","pause.V.3P.PRES","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","248","1","1","8","SAR","ond oedd mam yn gweud mam yn gweud ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","249","1","1","6","SAR","faint o waith sy gyda ti ","cym","monoW","ww","monoW","www","which_is.V.3SP.PRES.REL","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","251","1","1","5","SAR","mae tipyn o oriau mynd ","cym","monoW","ww","monoW","www","be.V.3S.PRES=go.V.INFIN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","251","2","6","10","SAR","i fynd ar sgriptiau fi ","cym","monoW","ww","monoW","www","go.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","255","1","1","4","SAR","achos fi yn gwybod ","cym","monoW","ww","monoW","www","know.V.INFIN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","255","2","5","7","SAR","mae hwnna mynd ","cym","monoW","ww","monoW","www","be.V.3S.PRES=go.V.INFIN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","255","3","8","11","SAR","i fod yn drymach ","cym","monoW","ww","monoW","www","be.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","258","1","1","10","NON","mae isie ti just cael fel recharge_io yr batteries hefyd ","cym","monoW","ww","monoW","www","be.V.3S.PRES=have.V.INFIN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","260","1","1","12","SAR","os gaethen i couple o shifts yn G_E basai hwnna yn good ","cym","biling","wb","biling","wbb","be.V.3S.PLUPERF.SPOKEN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","261","1","1","1","SAR","basai ","cym","monoW","ww","monoW","www","be.V.3S.PLUPERF.SPOKEN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","262","1","1","5","SAR","pam fi yn gweud basai ","cym","monoW","ww","monoW","www","be.V.3S.PLUPERF.SPOKEN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","268","1","1","6","NON","fi credu unwaith a i adre ","cym","monoW","ww","monoW","www","believe.V.INFIN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","268","2","7","10","NON","bydda i yn iawn ","cym","monoW","ww","monoW","www","be.V.1S.FUT","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","272","1","1","5","NON","dim Iest yw e though ","cym","biling","wb","biling","wbb","be.V.3S.PRES","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","273","1","1","3","NON","mae pawb arall ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","277","1","1","9","SAR","achos oedd e yn haws na gorfod ail_ddeud popeth ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF=have_to.V.INFIN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","280","1","1","2","NON","oh ydy ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","280","2","3","7","NON","mae pawb arall yn deall ","cym","monoW","ww","monoW","www","be.V.3S.PRES=understand.V.INFIN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","478","1","1","4","SAR","yeah wedyn oedd pythefnos ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","478","2","5","8","SAR","a oedd wythnos ddarllen ","cym","monoW","ww","monoW","www","be.V.3S.IMPERF=read.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","481","1","1","5","SAR","so hwnna yw yr trydydd ","cym","monoW","ww","monoW","www","be.V.3S.PRES","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","484","1","1","8","NON","un waith fwy na fi ti wedi bod ","cym","monoW","ww","monoW","www","be.V.INFIN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","484","2","9","9","NON","twel ","cym","monoW","ww","monoW","www","see.V.2S.PRES.SPOKEN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","486","1","1","3","NON","o'n i meddwl ","cym","monoW","ww","monoW","www","think.V.INFIN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","486","2","4","12","NON","bod ti wedi bod adre lot mwy na fi ","cym","monoW","ww","monoW","www","be.V.INFIN=be.V.INFIN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","486","3","13","13","NON","twel ","cym","monoW","ww","monoW","www","see.V.2S.PRES.SPOKEN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","489","1","1","5","SAR","mae phone fi yn mynd ","cym","monoW","ww","monoW","www","be.V.3S.PRES=go.V.INFIN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","493","1","1","9","SAR","does yna ddim_byd yna i dynnu fi gartre nawr ","cym","monoW","ww","monoW","www","be.V.3S.PRES.INDEF.NEG=take.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","494","1","1","2","SAR","pam dylsen ","cym","monoW","ww","monoW","www","ought.V.3P.PLUPERF.SPOKEN","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","494","2","3","4","SAR","i fynd ","cym","monoW","ww","monoW","www","go.V.INFIN+SM","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","496","1","1","13","NON","mae o yn eitha hectic os ti mynd adre am ychydig o ddiwrnodau ","cym","monoW","ww","monoW","www","be.V.3S.PRES=go.V.INFIN","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","497","1","1","8","NON","ond bydd e wahanol i fi nawr achos ","cym","monoW","ww","monoW","www","be.V.3S.FUT","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","497","2","9","17","NON","bydd dydd Gwener a dydd Llun i_ffwrdd gyda fi ","cym","monoW","ww","monoW","www","be.V.3S.FUT","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","500","1","1","2","NON","bydd e ","cym","monoW","ww","monoW","www","be.V.3S.FUT","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","500","2","3","5","NON","werth i fi ","cym","monoW","ww","monoW","www","value.N.M.SG+SM[or]sell.V.3S.PRES+SM","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","500","3","6","7","NON","fynd adre ","cym","monoW","ww","monoW","www","go.V.INFIN+SM","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Siarad","davies1","514","1","1","4","NON","mae hi yn lovely ","cym","biling","wb","biling","wbb","be.V.3S.PRES=love.V.INFIN+ADV","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1"
