"filename","ext_na","ext_st","ext_nst","ext_snt","ext_nsnt","int_st","int_nst","int_snt","int_nsnt"
"roberts1",171,18,247,9,334,22,335,7,415
"roberts2",488,18,319,22,605,40,494,38,880
"roberts3",404,19,390,38,912,46,510,72,1135
"roberts4",506,37,324,42,478,75,515,87,710
"stammers1",296,9,251,10,320,8,389,2,487
"stammers2",426,19,136,12,181,34,300,20,420
"stammers3",318,61,245,58,423,99,337,96,573
"stammers4",298,20,204,8,339,11,342,15,501
"stammers5",450,46,189,43,318,60,350,62,574
"stammers6",892,57,271,44,541,99,608,90,1008
"stammers7",209,31,221,30,381,34,303,49,486
"stammers8",372,19,146,17,268,18,299,15,490
"stammers9",238,2,129,1,225,2,224,2,367
"fusser10",238,23,340,10,530,20,434,9,678
"fusser11",445,23,376,19,842,53,492,46,1114
"fusser12",956,11,323,20,867,35,594,42,1506
"fusser13",476,10,318,7,719,8,482,14,1026
"fusser14",437,16,143,5,216,15,338,5,459
"fusser15",426,39,363,36,673,50,538,68,881
"fusser16",555,16,327,5,548,8,526,13,904
"fusser17",548,49,361,33,559,81,641,63,765
"fusser18",368,17,256,12,304,34,407,30,486
"fusser19",372,29,224,47,434,55,316,105,630
"fusser21",480,41,377,69,678,88,533,97,927
"fusser22",293,56,174,31,247,51,346,30,374
"fusser23",664,56,304,30,464,56,653,44,765
"fusser25",351,68,237,68,245,106,389,85,389
"fusser26",233,27,285,33,379,44,369,37,507
"fusser27",407,68,285,48,350,126,428,100,504
"fusser28",198,33,106,19,92,28,203,22,195
"fusser29",381,69,247,58,324,100,427,85,467
"fusser3",350,40,254,18,362,43,426,32,523
"fusser30",378,27,332,23,553,32,496,43,742
"fusser31",283,39,217,26,226,80,336,50,325
"fusser32",242,12,179,12,488,6,244,19,664
"fusser4",251,22,176,15,358,19,284,12,507
"fusser5",516,21,214,19,383,32,421,32,668
"fusser6",175,40,182,35,244,45,249,45,337
"fusser7",261,31,226,40,412,77,301,77,515
"fusser8",1096,40,474,44,853,58,919,57,1473
"fusser9",337,9,413,12,771,16,551,24,951
"davies1",322,41,281,29,265,77,420,47,394
"davies10",619,23,197,8,314,5,493,14,649
"davies11",429,23,239,4,346,15,444,12,570
"davies12",458,93,320,73,417,138,514,119,590
"davies13",326,59,276,61,291,98,413,73,429
"davies14",420,22,238,19,277,23,405,22,526
"davies15",284,36,278,22,435,76,363,76,540
"davies16",467,84,175,91,307,111,356,140,517
"davies17",219,17,234,12,365,13,358,15,461
"davies2",544,56,327,41,554,60,544,65,853
"davies3",209,39,272,44,385,110,295,88,456
"davies4",535,70,290,81,500,69,530,89,788
"davies5",613,59,202,28,271,115,446,85,527
"davies6",419,45,188,33,294,63,332,50,534
"davies7",266,22,96,12,128,20,210,22,272
"davies9",246,34,65,26,79,40,159,18,233
"robert1",364,29,185,31,228,56,313,60,408
"robert2",141,9,123,13,231,20,167,14,316
"robert3",247,118,336,62,296,170,437,96,356
"robert4",284,40,227,42,355,72,310,73,493
"robert5",261,14,161,36,706,25,195,43,915
"robert6",289,61,207,43,187,103,328,65,291
"robert7",508,29,234,22,416,48,413,39,709
"robert8",742,7,71,15,419,17,199,51,987
"robert9",349,16,255,21,336,40,375,39,523
"lloyd1",513,29,128,29,179,28,393,46,411
"smith1",409,22,106,18,196,27,273,28,423
"deuchar1",302,45,280,40,309,64,419,44,449
