"langid","surface","auto","count","filename"
"cym","Abel","name","1","6"
"cym","abandono","unk","1","27"
"cym","Abergyrants","name","1","35"
"cym","Aber_gyrants","name","1","24"
"cym","Abel_Morgan","name","1","24"
"cym","Aber_Gyrants","name","5","24,35"
"cym","abiéc","unk","3","42"
"cym","Aberystwyth","name","1","24,26"
"cym","abod","unk","6","19,26"
"cym","abogada","unk","1","42"
"cym","acá","unk","9","27,31,38,41"
"cym","ac_ati","and_so_on.ADV","2","6"
"cym","accent","unk","2","38"
"cym","acen","accent.N.F.SG","3","36,37,38"
"cym","achlysur","occasion.N.M.SG","2","35,42"
"cym","achose","unk","1","42"
"cym","achosion","causes.N.M.PL","1","34"
"cym","achub","save.V.3S.PRES[or]save.V.INFIN","2","37"
"cym","acrobatos","unk","1","10"
"cym","actio","act.V.INFIN","2","23,37"
"cym","acordás","unk","1","9,11"
"cym","acto","unk","1","27"
"cym","actos","unk","1","27"
"cym","acw","over there.ADV","46","2,6,7,11,12,14,16,19,21,22,24,31,32,35,42"
"cym","adael","leave.V.INFIN+SM","8","2,11,18,29,31,35"
"cym","addo","promise.V.INFIN","3","14,22,32"
"cym","address","unk","1","39"
"cym","addysg","education.N.F.SG","7","3,6,11,24"
"cym","adeg","time.N.F.SG","46","2,3,4,8,11,18,19,22,24,26,31,35,36,42"
"cym","adegau","times.N.F.PL","1","35"
"cym","adeiladau","buildings.N.MF.PL","4","26,37"
"cym","adeiladu","build.V.INFIN","10","8,11,18,36,37"
"cym","adelanta","unk","2","27"
"cym","adelante","unk","1","27"
"cym","además","unk","1","27"
"cym","adio","add.V.INFIN","1","22"
"cym","adloniant","entertainment.N.M.SG","2","26"
"cym","adnabod","recognise_(identify).V.INFIN","1","19"
"cym","adnabyddus","familiar.ADJ","2","2,22"
"cym","adnod","unk","1","11"
"cym","adoquines","unk","3","27"
"cym","adra","homewards.ADV","12","3,7,11,30,31"
"cym","adre","home.ADV","66","2,5,7,8,9,11,12,14,20,21,22,23,28,30,31,34,35,36,37,39,42"
"cym","adref","homewards.ADV","11","3,7,8,11,14,21"
"cym","adroddiad","report.N.M.SG","8","11,14,15,36,37,39"
"cym","adroddwr","unk","1","19"
"cym","aeddfedu","mature.V.INFIN","1","21"
"cym","aelwyd","hearth.N.F.SG","1","11"
"cym","aer","air.N.M.SG","1","9"
"cym","aes","unk","4","8,39"
"cym","aesoch","unk","1","14"
"cym","aeth","go.V.3S.PAST","72","2,3,4,5,6,7,8,9,11,14,15,16,22,23,24,25,26,30,31,35,37,38,42"
"cym","aethoch","go.V.2P.PAST","3","19,23,37"
"cym","aethost","go.V.2S.PAST","1","34"
"cym","afael","grasp.V.INFIN+SM","2","11,39"
"cym","afal","apple.N.M.SG","4","4,16"
"cym","afalau","apple.N.M.PL","6","4,9,14"
"cym","aflonydd","unk","2","11"
"cym","afon","river.N.F.SG","50","5,6,7,9,14,21,22,24,26,28,31,32,33,35,39"
"cym","afonydd","rivers.N.F.PL","4","2,31,35"
"cym","afr","goat.N.F.SG+SM","2","11"
"cym","Africa","name","1","26"
"cym","ag","with.PREP","21","2,5,8,11,15,19,24,26,30,39"
"cym","agor","open.V.INFIN","34","1,5,6,7,8,11,18,19,22,24,25,28,31,33,42"
"cym","agored","open.ADJ[or]open.V.3S.IMPER","6","5,18,26,37"
"cym","agoriad","key.N.M.SG","1","25"
"cym","agosach","close.ADJ.COMP","2","31,35"
"cym","agosaf","closest.ADJ","1","21"
"cym","agosau","unk","1","32"
"cym","agosto","unk","1","20"
"cym","agua","unk","2","27"
"cym","aguanta","unk","1","27"
"cym","aha","unk","3","35,37,39"
"cym","ahí","unk","38","27"
"cym","ail_ddeud","unk","1","22"
"cym","ahora","unk","12","27,31"
"cym","ailbriododd","remarry.V.3S.PAST","1","24"
"cym","ail_fynd","unk","1","8"
"cym","air","word.N.M.SG+SM","5","5,11,39"
"cym","ajos","unk","1","27"
"cym","ajá","unk","2","20,27"
"cym","al","unk","6","27"
"cym","alambrado","unk","1","27"
"cym","albwm","album.N.M.SG","2","9,14"
"cym","alcance","unk","1","27"
"cym","alcanzaron","unk","1","27"
"cym","algo","unk","1","27"
"cym","alguien","unk","1","27"
"cym","alla","be_able.V.13S.PRES.SPOKEN+SM","12","5,6,11,15,24,30,31"
"cym","alguno","unk","1","27"
"cym","algunos","unk","1","27"
"cym","allá","unk","8","27"
"cym","allai","be_able.V.3S.IMPERF+SM","2","8,41"
"cym","alle","unk","2","14,31"
"cym","allet","be_able.V.2S.IMPERF.SPOKEN+SM","2","31,32"
"cym","alleth","unk","1","31"
"cym","alli","unk","2","5"
"cym","allí","unk","1","27"
"cym","allith","unk","1","24"
"cym","allu","be_able.V.INFIN+SM","4","5,25,35,42"
"cym","allwedd","key.N.F.SG","2","1"
"","hoy","unk","1","27,41"
"cym","abajo","unk","3","27"
"cym","arad","plough.N.M.SG","1","6"
"cym","araf","slow.ADJ","5","18,19,22,28"
"cym","arafu","slow_down.V.INFIN","1","31"
"cym","ar_agor","unk","3","25"
"cym","arbed","save.V.INFIN","1","11"
"cym","arbenigol","specialist.ADJ","1","37"
"cym","arbennig","special.ADJ","30","2,4,5,9,12,19,20,28,32,34,36,41"
"cym","Archentwr","name","1","19"
"cym","Archentwraig","name","1","19"
"cym","archif","archive.N.M.SG","1","37"
"cym","ardal","region.N.F.SG","8","3,4,16,20,37"
"cym","ardd","garden.N.F.SG+SM","10","4,6,11,14,24,37"
"cym","arddangosfa","exhibition.N.F.SG","2","8,18"
"cym","ardaloedd","regions.N.F.PL","1","11"
"cym","arddechog","unk","1","11"
"cym","ardderchog","excellent.ADJ","29","2,5,6,9,11,16,24,34,38,42"
"cym","ar_draws","across.PREP","3","8,22,31"
"cym","aredig","plough.V.INFIN[or]plough.V.INFIN","1","14"
"cym","ar_ei_ôl_o","unk","2","24"
"cym","arferiad","custom.N.MF.SG","13","6,7,11,26,31,36,39,41"
"cym","arferion","habits.N.M.PL","1","5"
"cym","arfordir","coast.N.M.SG","1","4"
"cym","Almaenwr","name","1","16"
"cym","alquilada","unk","1","27"
"cym","alquilar","unk","5","27"
"cym","alquilaron","unk","1","27"
"cym","alquiler","unk","1","27"
"cym","alquiló","unk","1","27"
"cym","altro","alter.V.INFIN","8","3,12,35,42"
"cym","alw","call.V.INFIN+SM","12","7,11,24,31,37"
"cym","am","for.PREP","650","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,41,42"
"cym","amaeth","agriculture.N.M.SG","1","10"
